iter	Passed	Remaining
541	67251	46034
542	67420	45940
543	67532	45808
544	67645	45675
545	67752	45540
546	67866	45409
547	67978	45277
548	68108	45157
549	68221	45025
550	68333	44894
551	68444	44761
552	68561	44633
553	68694	44515
554	68810	44385
555	68917	44250
556	69036	44123
557	69144	43989
558	69242	43849
559	69334	43705
560	69424	43560
561	69515	43416
562	69612	43275
563	69710	43136
564	69852	43024
565	69956	42888
566	70061	42753
567	70170	42621
568	70287	42493
569	70510	42429
570	70639	42309
571	70755	42181
572	70872	42053
573	71006	41936
574	71133	41813
575	71254	41688
576	71370	41560
577	71482	41429
578	71603	41305
579	71715	41174
580	71815	41037
581	71925	40905
582	72042	40778
583	72151	40647
584	72254	40511
585	72360	40378
586	72468	40246
587	72589	40121
588	72702	39992
589	72804	39857
590	72878	39707
591	72990	39577
592	73104	39449
593	73211	39317
594	73303	39177
595	73412	39046
596	73523	38916
597	73630	38785
598	73745	38658
599	73854	38527
600	73948	38389
601	74052	38256
602	74169	38130
603	74273	37997
604	74377	37864
605	74492	37738
606	74609	37612
607	74725	37485
608	74830	37353
609	74943	37226
610	75042	37091
611	75155	36963
612	75262	36833
613	75367	36701
614	75482	36575
615	75596	36448
616	75712	36322
617	75824	36194
618	75934	36065
619	76039	35934
620	76166	35814
621	76261	35678
622	76369	35549
623	76474	35418
624	76579	35287
625	76687	35158
626	76789	35026
627	76894	34896
628	76997	34765
629	77112	34639
630	77220	34510
631	77348	34390
632	77454	34261
633	77566	34134
634	77671	34004
635	77774	33873
636	77888	33747
637	77998	33619
638	78113	33494
639	78222	33366
640	78326	33236
641	78429	33106
642	78540	32979
643	78651	32852
644	78757	32724
645	78863	32595
646	78985	32473
647	79094	32345
648	79198	32216
649	79322	32095
650	79444	31973
651	79557	31847
652	79670	31721
653	79780	31594
654	79896	31470
655	80003	31342
656	80119	31218
657	80232	31093
658	80338	30965
659	80444	30837
660	80557	30711
661	80665	30584
662	80770	30456
663	80875	30328
664	80988	30203
665	81103	30078
666	81203	29949
667	81312	29822
668	81427	29698
669	81544	29575
670	81642	29444
671	81757	29320
672	81863	29193
673	81972	29067
674	82087	28943
675	82195	28817
676	82310	28693
677	82414	28565
678	82528	28441
679	82634	28314
680	82739	28187
681	82852	28063
682	82958	27936
683	83072	27812
684	83184	27687
685	83290	27561
686	83402	27436
687	83512	27311
688	83640	27192
689	83747	27066
690	83854	26940
691	83960	26814
692	84073	26690
693	84176	26562
694	84284	26437
695	84388	26310
696	84493	26184
697	84605	26060
698	84705	25932
699	84814	25807
700	84926	25683
701	85034	25558
702	85136	25432
703	85239	25305
704	85338	25177
705	85443	25052
706	85555	24928
707	85655	24801
708	85766	24677
709	85876	24553
710	85986	24429
711	86100	24306
712	86210	24182
713	86325	24059
714	86429	23934
715	86536	23809
716	86641	23684
717	86751	23560
718	86855	23435
719	86955	23308
720	87079	23189
721	87185	23064
722	87293	22940
723	87405	22817
724	87507	22691
725	87615	22567
726	87724	22444
727	87833	22320
728	87940	22196
729	88051	22073
730	88151	21947
731	88255	21822
732	88358	21697
733	88465	21573
734	88577	21451
735	88683	21327
736	88790	21203
737	88899	21080
738	89000	20955
739	89093	20828
740	89197	20704
741	89304	20581
742	89416	20458
743	89516	20333
744	89618	20209
745	89722	20085
746	89833	19963
747	89948	19841
748	90044	19716
749	90161	19595
750	90272	19472
751	90384	19350
752	90488	19227
753	90594	19104
754	90697	18980
755	90800	18856
756	90907	18733
757	91008	18609
758	91107	18485
759	91212	18362
760	91316	18239
761	91425	18117
762	91525	17993
763	91629	17870
764	91733	17747
765	91840	17624
766	91953	17503
767	92058	17380
768	92171	17259
769	92278	17137
770	92387	17015
771	92490	16892
772	92600	16771
773	92707	16648
774	92816	16527
775	92921	16404
776	93026	16282
777	93128	16159
778	93236	16038
779	93338	15915
780	93446	15793
781	93553	15672
782	93656	15549
783	93763	15427
784	93869	15306
785	93982	15185
786	94083	15062
787	94182	14940
788	94282	14817
789	94391	14696
790	94498	14574
791	94623	14456
792	94742	14336
793	94848	14215
794	94962	14095
795	95084	13976
796	95194	13855
797	95310	13735
798	95437	13616
799	95557	13497
800	95666	13376
801	95771	13255
802	95889	13135
803	96004	13015
804	96116	12895
805	96229	12774
806	96337	12654
807	96453	12534
808	96561	12413
809	96684	12294
810	96801	12174
811	96928	12056
812	97046	11936
813	97159	11816
814	97271	11696
815	97388	11576
816	97507	11457
817	97620	11337
818	97748	11219
819	97859	11098
820	97960	10977
821	98065	10856
822	98164	10734
823	98269	10614
824	98376	10493
825	98476	10372
826	98595	10252
827	98705	10132
828	98817	10012
829	98930	9893
830	99034	9772
831	99137	9651
832	99242	9531
833	99349	9410
834	99456	9290
835	99563	9170
836	99665	9049
837	99768	8929
838	99899	8811
839	100026	8692
840	100146	8573
841	100275	8455
842	100402	8337
843	100515	8217
844	100622	8097
845	100732	7977
846	100844	7858
847	100962	7738
848	101078	7619
849	101186	7499
850	101302	7380
851	101423	7261
852	101529	7141
853	101638	7021
854	101744	6901
855	101852	6782
856	101961	6662
857	102066	6542
858	102183	6423
859	102288	6303
860	102407	6184
861	102523	6065
862	102625	5945
863	102737	5826
864	102855	5707
865	102959	5587
866	103074	5468
867	103175	5348
868	103283	5229
869	103408	5111
870	103516	4991
871	103618	4871
872	103727	4752
873	103838	4633
874	103945	4514
875	104050	4394
876	104156	4275
877	104260	4156
878	104374	4037
879	104478	3917
880	104589	3798
881	104717	3680
882	104821	3561
883	104931	3442
884	105035	3323
885	105138	3203
886	105249	3085
887	105363	2966
888	105470	2847
889	105576	2728
890	105683	2609
891	105798	2490
892	105900	2371
893	106012	2253
894	106121	2134
895	106227	2015
896	106331	1896
897	106444	1778
898	106559	1659
899	106661	1540
900	106780	1422
901	106897	1303
902	107000	1184
903	107115	1066
904	107228	947
905	107360	829
906	107467	710
907	107578	592
908	107702	473
909	107842	355
910	107958	237
911	108067	118
912	108185	0
